,书籍名称,价格,出版社,评论数,商品链接,图片链接
149, 编程的乐趣 用Python解算法谜题,46.60,人民邮电出版社,1,http://product.dangdang.com/27872613.html,images/model/guan/url_none.png
150, Python爬虫开发 从入门到实战（微课版）,34.30,人民邮电出版社,349,http://product.dangdang.com/25349717.html,images/model/guan/url_none.png
151, Python深度学习,46.60,清华大学出版社,761,http://product.dangdang.com/25286949.html,images/model/guan/url_none.png
152, Python 3.6从入门到精通（视频教学版）,75.60,人民邮电出版社,16,http://product.dangdang.com/25572687.html,images/model/guan/url_none.png
153, 趣学Python编程,32.70,中国铁道出版社,1835,http://product.dangdang.com/23426467.html,images/model/guan/url_none.png
154, Python量化交易实战入门与技巧,61.40,机械工业出版社,266,http://product.dangdang.com/25343972.html,images/model/guan/url_none.png
155, Python自动化运维：技术与最佳实践,54.50,清华大学出版社,2549,http://product.dangdang.com/23593858.html,images/model/guan/url_none.png
156, Python可以这样学,47.60,人民邮电出版社,680,http://product.dangdang.com/24180463.html,images/model/guan/url_none.png
157, 数据结构 Python语言描述,50.00,清华大学出版社,4012,http://product.dangdang.com/25195904.html,images/model/guan/url_none.png
158, Python网络编程(Linux),33.10,机械工业出版社,110,http://product.dangdang.com/25340081.html,images/model/guan/url_none.png
159, Python语言程序设计(Daniel Liang[梁勇]博士系列丛书之一，以实例教，由实践学，采用基础先行、问题驱动,54.50,电子工业出版社,731,http://product.dangdang.com/23689934.html,images/model/guan/url_none.png
160, Python大战机器学习：数据科学家的第一个小目标,61.40,机械工业出版社,2188,http://product.dangdang.com/24195827.html,images/model/guan/url_none.png
161, 零基础学Python(300个实例、64个练习题，超值大容量DVD包含教学视频、源代码、PPT),62.40,机械工业出版社,1090,http://product.dangdang.com/23663228.html,images/model/guan/url_none.png
162, Python数据科学：技术详解与商业实践,78.20,人民邮电出版社,213,http://product.dangdang.com/25310840.html,images/model/guan/url_none.png
163, 青少年学Python,57.30,人民邮电出版社,444,http://product.dangdang.com/25297440.html,images/model/guan/url_none.png
164, 像计算机科学家一样思考Python 第2版,35.50,人民邮电出版社,2028,http://product.dangdang.com/24003387.html,images/model/guan/url_none.png
165, Python和Pygame游戏开发指南,46.60,陕西科学技术出版社,349,http://product.dangdang.com/23833122.html,images/model/guan/url_none.png
166, Python趣码快乐编程,46.00,电子工业出版社,0,http://product.dangdang.com/27870338.html,images/model/guan/url_none.png
167, Python高效开发实战――Django、Tornado、Flask、Twisted,79.20,机械工业出版社,1424,http://product.dangdang.com/24058511.html,images/model/guan/url_none.png
